MR1:luggage+1 airClass=0, isStudent=F/T, area=0~1, economicfee=1000
group 1 source test case:0,1,false,73.06491690269306,1000.0
group 1 follow test case:0,1,false,74.06491690269306,1000.0
group 2 source test case:0,1,true,196.54416778873508,1000.0
group 2 follow test case:0,1,true,197.54416778873508,1000.0
group 3 source test case:0,0,true,63.92387168862305,1000.0
group 3 follow test case:0,0,true,64.92387168862305,1000.0
group 4 source test case:0,0,true,130.72149279096965,1000.0
group 4 follow test case:0,0,true,131.72149279096965,1000.0
group 5 source test case:0,0,false,150.09541188107818,1000.0
group 5 follow test case:0,0,false,151.09541188107818,1000.0
group 6 source test case:0,0,true,88.73535038748051,1000.0
group 6 follow test case:0,0,true,89.73535038748051,1000.0
group 7 source test case:0,1,false,192.81704941156536,1000.0
group 7 follow test case:0,1,false,193.81704941156536,1000.0
group 8 source test case:0,1,true,75.43121903943253,1000.0
group 8 follow test case:0,1,true,76.43121903943253,1000.0
group 9 source test case:0,0,false,121.73602532948512,1000.0
group 9 follow test case:0,0,false,122.73602532948512,1000.0
group 10 source test case:0,0,true,111.83845300359185,1000.0
group 10 follow test case:0,0,true,112.83845300359185,1000.0
group 11 source test case:0,1,true,45.83768676228884,1000.0
group 11 follow test case:0,1,true,46.83768676228884,1000.0
group 12 source test case:0,1,true,159.20135104544886,1000.0
group 12 follow test case:0,1,true,160.20135104544886,1000.0
group 13 source test case:0,1,false,140.38861819943276,1000.0
group 13 follow test case:0,1,false,141.38861819943276,1000.0
group 14 source test case:0,0,true,143.5269571265376,1000.0
group 14 follow test case:0,0,true,144.5269571265376,1000.0
group 15 source test case:0,1,true,52.43646013281162,1000.0
group 15 follow test case:0,1,true,53.43646013281162,1000.0
group 16 source test case:0,1,true,177.27860806313072,1000.0
group 16 follow test case:0,1,true,178.27860806313072,1000.0
group 17 source test case:0,0,true,44.583849253146326,1000.0
group 17 follow test case:0,0,true,45.583849253146326,1000.0
group 18 source test case:0,0,false,133.88437803701936,1000.0
group 18 follow test case:0,0,false,134.88437803701936,1000.0
group 19 source test case:0,1,true,98.93601903071595,1000.0
group 19 follow test case:0,1,true,99.93601903071595,1000.0
