MR1:luggage+1 airClass=0, isStudent=F/T, area=0~1, economicfee=1000
group 1 source test case:0,1,false,49.28444460845489,1000.0
group 1 follow test case:0,1,false,50.28444460845489,1000.0
group 2 source test case:0,1,false,58.67807272325189,1000.0
group 2 follow test case:0,1,false,59.67807272325189,1000.0
group 3 source test case:0,0,false,122.00898023201096,1000.0
group 3 follow test case:0,0,false,123.00898023201096,1000.0
group 4 source test case:0,0,true,70.62783072334231,1000.0
group 4 follow test case:0,0,true,71.62783072334231,1000.0
group 5 source test case:0,1,false,62.34877991055302,1000.0
group 5 follow test case:0,1,false,63.34877991055302,1000.0
group 6 source test case:0,0,false,164.0365547241858,1000.0
group 6 follow test case:0,0,false,165.0365547241858,1000.0
group 7 source test case:0,0,false,183.2239050622005,1000.0
group 7 follow test case:0,0,false,184.2239050622005,1000.0
group 8 source test case:0,1,true,102.70644379882506,1000.0
group 8 follow test case:0,1,true,103.70644379882506,1000.0
group 9 source test case:0,0,false,192.06281295909432,1000.0
group 9 follow test case:0,0,false,193.06281295909432,1000.0
group 10 source test case:0,1,false,141.4904484671744,1000.0
group 10 follow test case:0,1,false,142.4904484671744,1000.0
group 11 source test case:0,0,false,90.96708798172519,1000.0
group 11 follow test case:0,0,false,91.96708798172519,1000.0
group 12 source test case:0,1,true,109.68795181068207,1000.0
group 12 follow test case:0,1,true,110.68795181068207,1000.0
group 13 source test case:0,0,true,77.94305112392136,1000.0
group 13 follow test case:0,0,true,78.94305112392136,1000.0
group 14 source test case:0,1,true,50.85760868250371,1000.0
group 14 follow test case:0,1,true,51.85760868250371,1000.0
group 15 source test case:0,0,true,121.13953039542419,1000.0
group 15 follow test case:0,0,true,122.13953039542419,1000.0
group 16 source test case:0,0,false,50.74697356819868,1000.0
group 16 follow test case:0,0,false,51.74697356819868,1000.0
group 17 source test case:0,0,false,139.3307819872786,1000.0
group 17 follow test case:0,0,false,140.3307819872786,1000.0
group 18 source test case:0,0,false,53.60135316881114,1000.0
group 18 follow test case:0,0,false,54.60135316881114,1000.0
group 19 source test case:0,0,true,70.4237220097461,1000.0
group 19 follow test case:0,0,true,71.4237220097461,1000.0
group 20 source test case:0,0,false,168.04018337031357,1000.0
group 20 follow test case:0,0,false,169.04018337031357,1000.0
group 21 source test case:0,0,false,102.29099151552786,1000.0
group 21 follow test case:0,0,false,103.29099151552786,1000.0
group 22 source test case:0,0,false,84.30547922928653,1000.0
group 22 follow test case:0,0,false,85.30547922928653,1000.0
group 23 source test case:0,0,false,67.58582491443781,1000.0
group 23 follow test case:0,0,false,68.58582491443781,1000.0
group 24 source test case:0,0,false,48.805055917365486,1000.0
group 24 follow test case:0,0,false,49.805055917365486,1000.0
group 25 source test case:0,1,false,152.09194613952303,1000.0
group 25 follow test case:0,1,false,153.09194613952303,1000.0
group 26 source test case:0,1,true,75.53925332165346,1000.0
group 26 follow test case:0,1,true,76.53925332165346,1000.0
group 27 source test case:0,0,true,75.92034886605572,1000.0
group 27 follow test case:0,0,true,76.92034886605572,1000.0
group 28 source test case:0,0,false,144.24378683952003,1000.0
group 28 follow test case:0,0,false,145.24378683952003,1000.0
group 29 source test case:0,0,false,114.16427434206427,1000.0
group 29 follow test case:0,0,false,115.16427434206427,1000.0
group 30 source test case:0,1,false,185.66817359496392,1000.0
group 30 follow test case:0,1,false,186.66817359496392,1000.0
group 31 source test case:0,1,false,178.25136948981506,1000.0
group 31 follow test case:0,1,false,179.25136948981506,1000.0
group 32 source test case:0,0,true,169.5876143132612,1000.0
group 32 follow test case:0,0,true,170.5876143132612,1000.0
group 33 source test case:0,0,true,146.83597577356332,1000.0
group 33 follow test case:0,0,true,147.83597577356332,1000.0
group 34 source test case:0,0,false,147.39979026681837,1000.0
group 34 follow test case:0,0,false,148.39979026681837,1000.0
group 35 source test case:0,1,false,193.9111638401155,1000.0
group 35 follow test case:0,1,false,194.9111638401155,1000.0
group 36 source test case:0,1,true,115.95455732296699,1000.0
group 36 follow test case:0,1,true,116.95455732296699,1000.0
group 37 source test case:0,0,false,190.50583671798688,1000.0
group 37 follow test case:0,0,false,191.50583671798688,1000.0
